Reference Number,Vessel  ID,Year,Segment,Size Category,Capacity (GT),Length,Capacity Index,Size Index, Total Number of vessels in Segment , Total Active Vessels in Segment , Total Engine Power (kW) for Segment-Size , Total Capacity (GT)  for Segment-Size , Average Length for Segment ,Total Jobs,FTE,  Fishing Income,Non Fishing Income,Total Income, Wages,Energy Costs (Fuel),Repairs & Maintenance,Filters/Lube Oil,Provisions,Ice,Dues & Levies,Sundry Variable Costs,Total Variable Costs,Insurance,Loan Interest,Accountancy,Legal Fees,Sundry fixed costs,Total Fixed Costs,TOTAL COSTS,GROSS PROFIT,Depreciation,Sundry receipts,Net Profit / (Loss)
74,677,2008,DFN,10-12,0.0,0.0,,,37,23,"2,870",417,11.0,3.0,2.0,"€30,000",,"€30,000","€8,000","€4,000",,€300,,,€300,€0,"€12,600",,,,,€150,€150,"€12,750","€17,250",,,"€17,250"
75,678,2008,DTS,18-24,0.0,0.0,,,85,76,"31,631","11,163",21.3,7.0,5.0,"€738,957","€2,556","€741,513","€99,042","€349,019","€62,478",,"€20,977",,,"€44,785","€576,301","€32,805",€912,"€2,100",,"€62,203","€98,020","€674,321","€67,192","€6,314",,"€60,878"
76,679,2008,DTS,24-40,0.0,0.0,,,35,31,"19,210","8,419",27.0,9.0,6.5,"€651,549",,"€651,549","€96,258","€197,558","€64,425",€108,"€13,083",,€757,"€43,253","€415,442","€26,095",,"€3,925",,"€8,391","€38,411","€453,853","€197,696","€48,575",,"€149,121"
77,680,2008,DTS,12-18,0.0,0.0,,,70,57,"10,867","2,680",14.8,2.0,2.0,"€87,096","€26,212","€113,308",,"€11,252","€7,315",,,,"€1,755","€1,642","€21,964","€10,545","€21,273","€1,435",,"€22,483","€55,736","€77,700","€35,608","€43,262",,"-€7,654"
78,681,2008,DTS,18-24,0.0,0.0,,,85,76,"31,631","11,163",21.3,16.0,11.0,"€1,717,663","€167,234","€1,884,897","€474,414","€529,348","€254,620",,"€41,153",€457,,"€259,933","€1,559,925","€39,773","€53,515","€12,977","€2,420","€25,277","€133,962","€1,693,887","€191,010","€19,984","-€28,104","€142,922"
79,682,2008,DTS,18-24,0.0,0.0,,,85,76,"31,631","11,163",21.3,10.0,7.2,"€699,821",,"€699,821","€166,683","€161,566","€107,806",,"€20,218","€6,229",€702,€683,"€463,887","€14,800",,"€1,275",,"€71,233","€87,308","€551,195","€148,626","€120,421",,"€28,205"
80,683,2008,DTS,10-12,0.0,0.0,,,21,17,"1,976",297,11.2,3.0,2.0,"€76,322",,"€76,322","€10,622","€8,913","€2,866",,"€4,383",,,"€12,716","€39,500","€2,762","€10,283","€1,150",,"€14,182","€28,377","€67,877","€8,445","€14,083",-€217,"-€5,855"
81,684,2008,FPO,12-18,0.0,0.0,,,24,19,"2,765",463,13.2,1.0,1.0,"€71,451","€13,904","€85,355","€11,675","€7,865","€3,158",,"€1,159",,"€3,034",€0,"€26,891","€8,100",€113,"€3,000",,"€14,786","€25,999","€52,890","€32,465","€3,513",€69,"€29,021"
82,685,2008,DTS,18-24,0.0,0.0,,,85,76,"31,631","11,163",21.3,12.0,8.0,"€313,498","€105,246","€418,744","€67,266","€194,508","€85,708",,"€8,682",,"€2,985","€95,970","€455,119","€3,900","€46,752","€15,840","€1,800","€15,206","€83,498","€538,617","-€119,873","€2,438",€50,"-€122,261"
83,686,2008,FPO,10-12,0.0,0.0,,,135,106,"10,708","1,301",11.0,4.0,4.0,"€103,000",,"€103,000","€48,571",,,,,,,"€18,000","€66,571","€6,000","€3,500",,,€0,"€9,500","€76,071","€26,929","€5,000",,"€21,929"
