Reference Number,Vessel  ID,Year,Segment,Size Category,Capacity (GT),Length,Capacity Index,Size Index, Total Number of vessels in Segment , Total Active Vessels in Segment , Total Engine Power (kW) for Segment-Size , Total Capacity (GT)  for Segment-Size , Average Length for Segment ,Total Jobs,FTE,  Fishing Income,Non Fishing Income,Total Income, Wages,Energy Costs (Fuel),Repairs & Maintenance,Filters/Lube Oil,Provisions,Ice,Dues & Levies,Sundry Variable Costs,Total Variable Costs,Insurance,Loan Interest,Accountancy,Legal Fees,Sundry fixed costs,Total Fixed Costs,TOTAL COSTS,GROSS PROFIT,Depreciation,Sundry receipts,Net Profit / (Loss)
84,687,2008,FPO,12-18,0.0,0.0,,,24,19,"2,765",463,13.2,4.0,4.0,"€174,000",,"€174,000","€85,714",,,,,,,"€24,000","€109,714","€7,800","€6,100",,,"€37,900","€51,800","€161,514","€12,486","€15,000",,"-€2,514"
85,688,2008,FPO,12-18,0.0,0.0,,,24,19,"2,765",463,13.2,4.0,4.0,"€74,000",,"€74,000","€36,000",,,,,,,"€11,000","€47,000","€6,200","€3,400",,,"€20,600","€30,200","€77,200","-€3,200",,"€8,000","€4,800"
86,689,2008,FPO,10-12,0.0,0.0,,,135,106,"10,708","1,301",11.0,3.0,1.7,"€13,540",,"€13,540","€5,899","€1,500","€2,922",€60,,,,€650,"€11,031",,,€300,,"€1,419","€1,719","€12,750",€790,€250,,€540
88,364,2008,FPO,10-12,13.9,11.6,2.6,2.5,135,106,"10,708","1,301",11.0,4.0,2.5,,,€0,,"€8,500",€300,,,,,"€1,500","€10,300","€3,200",,"€2,000",,€0,"€5,200","€15,500","-€15,500",,,"-€15,500"
89,586,2008,FPO,00-10,5.7,10.5,1.7,2.4,"1,034",818,"24,012","2,311",6.7,3.0,2.0,"€36,720",,"€36,720",,"€3,450",€300,,,,€300,€500,"€4,550","€2,200",,,,€250,"€2,450","€7,000","€29,720",,,"€29,720"
91,180,2008,DTS,10-12,19.0,10.7,2.9,2.4,21,17,"1,976",297,11.2,4.0,4.0,"€112,549",,"€112,549","€44,498","€16,019","€12,692",,"€6,057",€588,,"€11,259","€91,113","€6,020","€1,368","€1,200",,"€4,115","€12,703","€103,816","€8,733","€1,480",,"€7,253"
92,411,2008,FPO,00-10,4.3,8.2,1.4,2.1,"1,034",818,"24,012","2,311",6.7,2.0,1.5,"€1,350",,"€1,350",,€150,,,,,€300,€100,€550,,,€300,,€0,€300,€850,€500,,,€500
93,592,2008,FPO,00-10,2.9,8.6,1.1,2.2,"1,034",818,"24,012","2,311",6.7,2.0,1.5,,,€0,,,,,,,,€0,€0,,,,,€0,€0,€0,€0,,,€0
94,690,2008,TM,24-40,0.0,0.0,,,14,14,"9,270","4,260",29.1,11.0,11.0,"€3,028,651","€74,392","€3,103,043","€743,452","€350,411","€297,878",,"€22,388",,"€8,888","€43,297","€1,466,314","€91,078","€353,238","€24,000","€7,000","€16,880","€492,196","€1,958,510","€1,144,533","€1,093,000",,"€51,533"
95,691,2008,TM,40-70,0.0,0.0,,,20,20,"39,750","27,208",56.2,,,"€3,845,718",,"€3,845,718","€1,057,011","€668,681","€313,153",,"€26,177",,,"€54,018","€2,119,040","€105,371","€172,799","€15,000","€9,860","€614,018","€917,048","€3,036,088","€809,630","€508,943","€3,537","€304,224"
96,692,2008,TM,40-70,0.0,0.0,,,20,20,"39,750","27,208",56.2,,,"€3,986,464",,"€3,986,464","€1,109,567","€492,439","€426,107",,"€29,674",,"€74,049",€0,"€2,131,836","€213,019","€38,762","€15,700",,"€624,549","€892,030","€3,023,866","€962,598","€179,398","€2,947","€786,147"
97,693,2008,DTS,24-40,0.0,0.0,,,35,31,"19,210","8,419",27.0,,,"€1,147,017",,"€1,147,017","€488,910","€114,014","€278,694",,"€10,878",,,"€24,144","€916,640","€34,358",,"€14,500","€4,500","€719,405","€772,763","€1,689,403","-€542,386","€154,915","€15,659","-€681,642"
98,694,2008,TM,40-70,0.0,0.0,,,20,20,"39,750","27,208",56.2,12.0,12.0,"€2,406,861",€980,"€2,407,841","€727,699","€387,330","€221,370",,"€9,945",,"€37,707","€126,850","€1,510,901","€176,882","€1,124,021","€13,000","€20,948","€185,129","€1,519,980","€3,030,881","-€623,040","€771,214",,"-€1,394,254"
99,649,2008,FPO,00-10,6.4,9.2,1.8,2.2,"1,034",818,"24,012","2,311",6.7,1.0,1.0,,,€0,,,,,,,,€0,€0,,,,,€0,€0,€0,€0,,,€0
100,257,2008,DTS,18-24,120.5,23.3,4.8,3.1,85,76,"31,631","11,163",21.3,6.0,6.0,"€300,732","€1,150","€301,882","€90,411","€81,860","€19,677",,"€11,048","€4,266","€3,290","€21,968","€232,520","€13,076","€28,621","€7,863",,"€10,337","€59,897","€292,417","€9,465","€14,178","€1,920","-€2,793"
103,570,2008,FPO,00-10,4.2,8.2,1.4,2.1,"1,034",818,"24,012","2,311",6.7,2.0,1.0,"€14,145",,"€14,145",,€850,€600,,,,,€0,"€1,450","€1,500",,,,€0,"€1,500","€2,950","€11,195",,,"€11,195"
104,10,2008,DTS,18-24,99.9,20.0,4.6,3.0,85,76,"31,631","11,163",21.3,6.0,3.5,"€325,452",,"€325,452","€73,917","€106,636","€60,088",,"€14,749","€5,068","€1,206","€7,240","€268,904","€16,904",,€792,,"€13,811","€31,507","€300,411","€25,041","€13,157",,"€11,884"
105,51,2008,DTS,18-24,105.1,24.0,4.7,3.2,85,76,"31,631","11,163",21.3,3.0,3.0,"€416,767",,"€416,767","€64,384","€114,926","€22,418",,"€13,843","€3,363","€1,928","€20,904","€241,766","€15,575","€12,985","€1,700","€4,000","€11,570","€45,830","€287,596","€129,171","€99,502",,"€29,669"
106,259,2008,FPO,10-12,5.5,11.2,1.7,2.4,135,106,"10,708","1,301",11.0,3.0,2.0,"€50,231",,"€50,231",,"€4,000",€500,,,,,€350,"€4,850",,,"€1,000",,€0,"€1,000","€5,850","€44,381",,,"€44,381"
107,260,2008,FPO,00-10,3.5,8.1,1.3,2.1,"1,034",818,"24,012","2,311",6.7,2.0,1.0,€4,,€4,,,€180,,,,,€865,"€1,045",,,€440,,€0,€440,"€1,485","-€1,481",,,"-€1,481"
109,55,2008,DTS,12-18,83.7,17.7,4.4,2.9,70,57,"10,867","2,680",14.8,5.0,5.0,"€261,462",,"€261,462","€48,571",,"€90,359","€33,888","€7,913","€3,929",,"€12,978","€197,638","€9,825","€34,345","€3,069",,"€7,169","€54,408","€252,046","€9,416","€30,179",,"-€20,763"
110,195,2008,DTS,24-40,160.7,25.2,5.1,3.2,35,31,"19,210","8,419",27.0,6.0,6.0,"€613,962",,"€613,962","€89,785","€211,661","€120,505",,"€15,432","€6,211","€3,105","€49,191","€495,890","€21,635","€93,705","€3,150","€3,092","€12,290","€133,872","€629,762","-€15,800","€93,614","€57,224","-€52,190"
111,49,2008,DTS,18-24,137.7,24.8,4.9,3.2,85,76,"31,631","11,163",21.3,6.0,6.0,"€854,664",,"€854,664","€264,404","€226,766","€172,625",,"€16,946",,"€3,722","€56,891","€741,354","€46,982","€87,062","€5,172",,"€23,070","€162,286","€903,640","-€48,976","€70,536","€66,411","-€53,101"
112,46,2008,TM,24-40,169.5,22.0,5.1,3.1,14,14,"9,270","4,260",29.1,,,"€580,693",,"€580,693","€88,924","€174,555","€32,093",,"€22,341",€405,"€5,540",€0,"€323,858","€30,658","€72,833","€11,750",,"€13,544","€128,785","€452,643","€128,050","€62,208",,"€65,842"
113,142,2008,DTS,24-40,368.2,27.0,5.9,3.3,35,31,"19,210","8,419",27.0,7.0,6.5,"€258,644","€37,294","€295,938","€51,525","€119,870","€65,674","€1,479","€10,413","€4,977","€1,332","€54,538","€309,808","€25,750","€2,588","€21,217",€75,"€126,143","€175,773","€485,581","-€189,643","€145,845",,"-€335,488"
115,39,2008,DTS,18-24,131.9,23.1,4.9,3.1,85,76,"31,631","11,163",21.3,7.0,6.5,"€630,983",€694,"€631,677","€205,799","€159,853","€84,237",,"€21,547",,,€0,"€471,436","€19,950","€34,920","€3,150",,"€9,798","€67,818","€539,254","€92,423","€41,500",,"€50,923"
116,9,2008,TM,40-70,676.2,38.4,6.5,3.6,20,20,"39,750","27,208",56.2,7.0,7.0,"€1,701,011","€71,487","€1,772,498","€227,104","€287,086","€78,692",,"€14,842",,"€27,326","€119,095","€754,145","€45,998",,"€15,000","€35,056","€479,759","€575,813","€1,329,958","€442,540","€632,033",,"-€189,493"
117,14,2008,DTS,18-24,74.4,17.7,4.3,2.9,85,76,"31,631","11,163",21.3,5.0,4.5,"€329,144",,"€329,144",,"€113,756","€16,775","€2,071","€24,286","€4,602",,€0,"€161,490","€10,793","€29,111","€2,511",€767,"€140,481","€183,663","€345,153","-€16,009","€8,417",,"-€24,426"
118,149,2008,FPO,00-10,9.8,9.5,2.3,2.2,"1,034",818,"24,012","2,311",6.7,3.0,1.5,"€67,966",,"€67,966",,"€12,000","€2,000",,,,"€2,000","€2,700","€18,700","€3,000",,"€1,650",,€650,"€5,300","€24,000","€43,966",,,"€43,966"
119,266,2008,FPO,12-18,14.0,12.7,2.6,2.5,24,19,"2,765",463,13.2,3.0,2.0,"€63,228",,"€63,228",,"€7,034","€1,200",,,,,"€2,694","€10,928","€2,200",,"€2,200",,€170,"€4,570","€15,498","€47,730",,,"€47,730"
120,92,2008,FPO,00-10,1.9,7.1,0.7,2.0,"1,034",818,"24,012","2,311",6.7,2.0,1.5,,,€0,,,,,,,,€0,€0,,,,,€0,€0,€0,€0,,,€0
121,329,2008,FPO,00-10,5.4,9.1,1.7,2.2,"1,034",818,"24,012","2,311",6.7,2.0,1.5,"€10,930",,"€10,930",,,,,,,,€0,€0,,,,,€0,€0,€0,"€10,930",,,"€10,930"
122,268,2008,FPO,10-12,8.7,11.5,2.2,2.4,135,106,"10,708","1,301",11.0,1.0,1.0,"€86,734",€675,"€87,409","€12,190","€11,776","€5,405",,,,€500,€0,"€29,871",€960,€163,€780,"€1,217","€18,303","€21,423","€51,294","€36,115","€2,739",,"€33,376"
123,40,2008,DTS,18-24,111.8,17.7,4.7,2.9,85,76,"31,631","11,163",21.3,6.0,6.0,"€442,358",,"€442,358","€150,070","€108,292","€62,366",,"€15,220","€2,072",,€0,"€338,020","€14,895","€25,018","€1,700",,"€17,622","€59,235","€397,255","€45,103","€77,508",,"-€32,405"
124,344,2008,DTS,18-24,178.6,20.8,5.2,3.0,85,76,"31,631","11,163",21.3,13.0,9.0,"€1,461,351","€13,161","€1,474,512","€379,373","€424,098","€72,463",,"€34,877",,"€6,105","€228,153","€1,145,069","€33,652","€41,426","€2,200",,"€29,681","€106,959","€1,252,028","€222,484","€62,505",,"€159,979"
125,270,2008,DTS,12-18,80.8,16.0,4.4,2.8,70,57,"10,867","2,680",14.8,3.0,3.0,"€146,865",,"€146,865","€33,655","€38,600","€7,725",,"€9,867","€3,855","€1,422",€124,"€95,248","€8,344","€26,273","€1,300",,"€4,240","€40,157","€135,405","€11,460","€11,386",,€74
126,191,2008,DTS,12-18,46.9,14.7,3.8,2.7,70,57,"10,867","2,680",14.8,2.0,2.0,"€210,663",,"€210,663",,"€31,729","€33,565",,"€5,700",,,€0,"€70,994","€7,000",,"€3,650",,"€28,568","€39,218","€110,212","€100,451","€7,626",,"€92,825"
128,50,2008,DTS,24-40,177.1,22.7,5.2,3.1,35,31,"19,210","8,419",27.0,,,"€312,467","€43,135","€355,602","€91,432","€101,138","€33,675",,"€5,661","€3,202",,"€116,651","€351,759","€11,843","€14,504","€6,155","€2,412","€6,030","€40,944","€392,703","-€37,101","€34,251","€431,089","€359,737"
129,271,2008,FPO,10-12,8.8,10.9,2.2,2.4,135,106,"10,708","1,301",11.0,2.0,2.0,"€58,495",,"€58,495","€31,788","€2,020","€2,344",,,,€319,"€8,389","€44,860","€3,300",,"€2,780",,"€5,183","€11,263","€56,123","€2,372","€2,596",,-€224
130,192,2008,DTS,24-40,234.4,28.6,5.5,3.4,35,31,"19,210","8,419",27.0,,,"€627,215",,"€627,215","€88,832","€196,207","€69,609",,"€17,761","€4,869","€4,783","€15,593","€397,654","€35,909","€153,525","€3,900",,"€6,333","€199,667","€597,321","€29,894","€109,348","€72,992","-€6,462"
131,582,2008,FPO,00-10,6.7,9.0,1.9,2.2,"1,034",818,"24,012","2,311",6.7,2.0,1.5,"€60,315",,"€60,315",,"€3,800","€1,000",,,,,"€3,400","€8,200",€700,,"€1,200",,€0,"€1,900","€10,100","€50,215",,,"€50,215"
132,577,2008,FPO,00-10,14.5,9.6,2.7,2.3,"1,034",818,"24,012","2,311",6.7,1.0,1.0,"€80,503",,"€80,503",,"€13,000","€2,000",,,,"€3,000","€1,500","€19,500","€2,750",,€400,,€0,"€3,150","€22,650","€57,853",,,"€57,853"
133,274,2008,DTS,12-18,106.7,17.6,4.7,2.9,70,57,"10,867","2,680",14.8,4.0,4.0,"€120,660",,"€120,660","€22,475","€42,512","€32,085",,"€1,850",,,€0,"€98,922","€15,848","€15,108","€1,500",,"€4,399","€36,855","€135,777","-€15,117","€8,009",,"-€23,126"
135,275,2008,FPO,12-18,29.0,13.3,3.4,2.6,24,19,"2,765",463,13.2,3.0,2.5,"€122,209",,"€122,209","€54,000","€8,748","€7,949",,"€5,584","€2,792",,€0,"€79,073",,"€1,437","€1,490",,"€4,350","€7,277","€86,350","€35,859","€1,905",,"€33,954"
136,561,2008,FPO,00-10,1.2,6.2,0.1,1.8,"1,034",818,"24,012","2,311",6.7,3.0,2.0,"€17,425",,"€17,425",,€300,,,,,,€270,€570,,,,,€0,€0,€570,"€16,855",,,"€16,855"
137,279,2008,FPO,10-12,6.6,9.5,1.9,2.2,135,106,"10,708","1,301",11.0,2.0,1.5,"€10,260",,"€10,260",,"€1,500",,,,,,€300,"€1,800",,,,,€300,€300,"€2,100","€8,160",,,"€8,160"
138,168,2008,DTS,18-24,120.1,19.3,4.8,3.0,85,76,"31,631","11,163",21.3,4.0,4.0,"€573,322",,"€573,322","€218,615","€123,888","€59,896",,"€11,497",,,€0,"€413,896","€17,595","€61,351","€2,875",€850,"€20,598","€103,269","€517,165","€56,157","€43,333",,"€12,824"
139,418,2008,FPO,00-10,1.4,7.0,0.4,1.9,"1,034",818,"24,012","2,311",6.7,3.0,2.0,"€10,108",,"€10,108",,€400,€440,,,,,€700,"€1,540",€542,,,,€0,€542,"€2,082","€8,026",,,"€8,026"
140,167,2008,FPO,00-10,3.4,7.9,1.2,2.1,"1,034",818,"24,012","2,311",6.7,,,"€15,035",,"€15,035",,"€1,200",€500,,,,€300,€200,"€2,200","€1,200",,€450,,€300,"€1,950","€4,150","€10,885",,,"€10,885"
141,185,2008,TM,24-40,491.7,34.3,6.2,3.5,14,14,"9,270","4,260",29.1,6.0,6.0,"€1,551,242","€8,692","€1,559,934","€333,153","€202,137","€16,314",,"€12,591",,,"€189,035","€753,230","€50,471",,"€5,108",,"€332,634","€388,213","€1,141,443","€418,491","€291,106","-€6,908","€120,477"
142,321,2008,FPO,00-10,3.1,8.1,1.1,2.1,"1,034",818,"24,012","2,311",6.7,3.0,2.0,"€23,945",,"€23,945",,"€1,100",€86,,,,,€75,"€1,261",,,,,€0,€0,"€1,261","€22,684",,,"€22,684"
143,382,2008,FPO,00-10,1.5,6.3,0.4,1.8,"1,034",818,"24,012","2,311",6.7,2.0,1.5,"€7,610",,"€7,610",,,€80,,,,,€100,€180,,,,,€500,€500,€680,"€6,930",,,"€6,930"
144,328,2008,DRB,24-40,177.7,27.0,5.2,3.3,33,4,"13,172","4,413",31.1,,,"€597,810",,"€597,810","€297,810","€188,825","€69,058",,"€19,913",,,€0,"€575,606","€27,476","€88,339",,,"€41,760","€157,575","€733,181","-€135,371","€55,856",,"-€191,227"
145,602,2008,FPO,00-10,6.4,8.8,1.9,2.2,"1,034",818,"24,012","2,311",6.7,3.0,2.0,"€74,560",,"€74,560",,"€9,650",€300,,,,€700,€600,"€11,250","€3,100",,€950,,€0,"€4,050","€15,300","€59,260",,,"€59,260"
146,357,2008,TM,40-70,598.8,45.4,6.4,3.8,20,20,"39,750","27,208",56.2,11.0,11.0,"€1,854,854","€77,306","€1,932,160","€588,537","€237,853","€113,637",,"€34,838","€27,578",,"€214,501","€1,216,944","€65,081","€306,450","€11,858","€25,383","€37,199","€445,971","€1,662,915","€269,245","€388,498",,"-€119,253"
147,33,2008,DTS,18-24,101.5,24.1,4.6,3.2,85,76,"31,631","11,163",21.3,4.0,4.0,"€340,567",,"€340,567","€114,900","€121,755","€7,736","€2,259","€14,533",,,"€1,142","€262,325","€28,022","€25,881","€2,916",€542,"€11,232","€68,593","€330,918","€9,649","€90,639","€5,359","-€75,631"
148,106,2008,DFN,10-12,15.7,10.7,2.8,2.4,37,23,"2,870",417,11.0,1.5,1.3,"€91,743",,"€91,743","€25,291","€17,343","€6,405",,"€1,925",,,"€1,440","€52,404","€5,252",,"€1,150",,"€6,574","€12,976","€65,380","€26,363","€4,030",,"€22,333"
149,183,2008,TM,40-70,"1,429.2",64.1,7.3,4.2,20,20,"39,750","27,208",56.2,14.0,14.0,"€1,293,197",,"€1,293,197","€185,390","€430,155","€105,799",,"€20,525",,"€55,241","€48,188","€845,298","€189,136","€394,037","€17,225","€33,475","€264,644","€898,517","€1,743,815","-€450,618","€1,675,995","€1,287","-€2,125,326"
150,315,2008,FPO,00-10,6.9,9.5,1.9,2.2,"1,034",818,"24,012","2,311",6.7,2.0,1.5,"€14,737",,"€14,737",,"€1,100",€550,,,,,€340,"€1,990","€1,500",,€600,,€0,"€2,100","€4,090","€10,647",,,"€10,647"
151,288,2008,FPO,10-12,7.9,11.0,2.1,2.4,135,106,"10,708","1,301",11.0,,,"€11,000","€12,000","€23,000",,"€1,100","€1,200",€500,,,,"€1,000","€3,800",,,,,€0,€0,"€3,800","€19,200",,,"€19,200"
152,290,2008,DTS,12-18,37.8,15.8,3.6,2.8,70,57,"10,867","2,680",14.8,3.0,3.0,"€65,487",,"€65,487","€16,372","€11,420","€16,143",,"€3,372",,,"€3,619","€50,926","€2,605",,€411,,"€1,307","€4,323","€55,249","€10,238","€1,970",,"€8,268"
153,333,2008,DRB,10-12,7.5,11.1,2.0,2.4,50,19,"4,683",527,11.0,,,"€112,744",,"€112,744",,"€2,898","€2,938",,,,,"€33,829","€39,665",,"€3,984","€1,425",,"€37,093","€42,502","€82,167","€30,577","€4,814",,"€25,763"
154,202,2008,DTS,24-40,174.4,23.7,5.2,3.2,35,31,"19,210","8,419",27.0,8.0,6.0,"€999,704",,"€999,704","€293,721","€345,666","€20,925",,"€30,981",,,"€59,110","€750,403","€29,000","€82,569","€5,000",,"€28,059","€144,628","€895,031","€104,673",,,"€104,673"
155,207,2008,DTS,12-18,64.6,18.4,4.2,2.9,70,57,"10,867","2,680",14.8,2.0,2.0,"€186,623","€35,866","€222,489","€65,662","€46,744","€28,448",,"€1,481",€464,"€1,304","€11,904","€156,007","€10,700",,"€5,500",,"€1,930","€18,130","€174,137","€48,352",,"€2,095","€50,447"
156,629,2008,FPO,00-10,1.6,5.9,0.5,1.8,"1,034",818,"24,012","2,311",6.7,2.0,1.5,"€10,304",,"€10,304",,"€1,405",€440,,,,€1,€300,"€2,146",,,€270,,€0,€270,"€2,416","€7,888",,,"€7,888"
157,295,2008,FPO,10-12,12.8,9.5,2.6,2.2,135,106,"10,708","1,301",11.0,3.0,2.0,"€101,927","€1,287","€103,214","€20,315","€6,454","€3,770",€260,"€1,700",€600,€550,"€9,146","€42,795",€960,,€847,,"€2,391","€4,198","€46,993","€56,221","€2,558",,"€53,663"
158,27,2008,DTS,18-24,114.2,22.7,4.7,3.1,85,76,"31,631","11,163",21.3,6.0,6.0,"€540,650",,"€540,650","€183,420","€132,356","€76,226",,"€18,600","€2,532",,€0,"€413,134","€18,205","€30,576","€2,062",,"€21,525","€72,368","€485,502","€55,148","€94,732",,"-€39,584"
160,385,2008,FPO,00-10,2.4,6.5,0.9,1.9,"1,034",818,"24,012","2,311",6.7,3.0,2.0,"€1,671",,"€1,671",,€300,€200,,,,€300,€150,€950,"€1,100",,,,€300,"€1,400","€2,350",-€679,,,-€679
161,312,2008,DTS,12-18,22.8,14.6,3.1,2.7,70,57,"10,867","2,680",14.8,2.0,2.0,"€124,572","€2,500","€127,072","€68,820","€20,513","€4,008","€3,398",,"€4,935",,"€6,113","€107,787","€6,500",,"€2,057",,"€4,296","€12,853","€120,640","€6,432","€12,172",,"-€5,740"
162,37,2008,DTS,18-24,116.9,19.4,4.8,3.0,85,76,"31,631","11,163",21.3,5.0,5.0,"€595,957",,"€595,957","€118,825","€113,110","€43,218",,"€7,800",,"€5,614",€0,"€288,567","€20,000",,,,"€6,188","€26,188","€314,755","€281,202","€45,471",,"€235,731"
163,299,2008,FPO,00-10,4.4,8.9,1.5,2.2,"1,034",818,"24,012","2,311",6.7,3.0,2.0,"€5,258",,"€5,258",,"€1,360",,,,,,€350,"€1,710",,,,,€500,€500,"€2,210","€3,048",,,"€3,048"
164,48,2008,DTS,18-24,131.1,23.7,4.9,3.2,85,76,"31,631","11,163",21.3,11.0,5.0,"€1,067,165",,"€1,067,165","€313,260","€264,815","€154,526",,"€15,555",€133,"€5,230",€0,"€753,519","€44,100","€68,440","€3,944","€1,320","€9,885","€127,689","€881,208","€185,957","€82,107",,"€103,850"
166,549,2009,FPO,10-12,6.1,10.3,1.8,2.3,113,86,"9,141","1,149",11.1,3.0,2.0,"€41,927",,"€41,927",,"€5,400","€4,200",,,,"€1,200","€3,040","€13,840","€2,800",,€600,,€0,"€3,400","€17,240","€24,687",,,"€24,687"
167,398,2009,FPO,00-10,4.5,9.4,1.5,2.2,688,523,"15,980","1,361",6.5,2.0,1.0,€998,,€998,,"€2,900",€860,,,,,"€3,800","€7,560",,,,,€500,€500,"€8,060","-€7,062",,,"-€7,062"
168,564,2009,FPO,00-10,3.3,8.0,1.2,2.1,688,523,"15,980","1,361",6.5,2.0,1.5,"€1,772",,"€1,772",,"€1,200",€860,,,,,€480,"€2,540",,,,,€0,€0,"€2,540",-€768,,,-€768
169,392,2009,FPO,12-18,12.0,13.8,2.5,2.6,21,19,"2,325",372,13.0,5.0,3.0,"€61,947",,"€61,947",,"€40,000","€5,000",,,,,"€20,000","€65,000","€5,000",,"€2,500",,€0,"€7,500","€72,500","-€10,553",,,"-€10,553"
170,215,2009,DTS,12-18,34.7,16.5,3.5,2.8,58,56,"9,613","2,471",15.1,2.0,2.0,"€145,142",,"€145,142","€20,175","€29,928","€10,042","€3,397","€1,922","€7,329","€1,551","€8,750","€83,094","€14,268",,"€3,000",,"€7,906","€25,174","€108,268","€36,874","€4,366",,"€32,508"
171,406,2009,DTS,18-24,210.6,22.0,5.3,3.1,65,65,"25,509","8,744",21.6,10.0,8.0,"€1,141,474",,"€1,141,474","€154,243","€277,902","€133,962",€395,"€33,228","€5,000","€5,000","€74,634","€684,364","€36,914",,"€3,610","€2,956","€372,825","€416,305","€1,100,669","€40,805","€25,134",,"€15,671"
172,91,2009,DTS,24-40,112.1,24.2,4.7,3.2,31,30,"15,612","6,866",26.5,7.0,6.0,"€545,187",,"€545,187","€129,709","€156,503","€35,677",,"€13,957","€8,098",,€0,"€343,944","€22,888",,"€1,950",,"€9,214","€34,052","€377,996","€167,191","€25,880",,"€141,311"
173,93,2009,FPO,10-12,9.0,12.6,2.2,2.5,113,86,"9,141","1,149",11.1,1.0,1.0,,,€0,,"€2,680","€4,500",,,,,€600,"€7,780",,,"€1,215",,€0,"€1,215","€8,995","-€8,995",,,"-€8,995"
174,467,2009,FPO,00-10,9.1,9.6,2.2,2.3,688,523,"15,980","1,361",6.5,2.0,1.0,€349,,€349,,"€20,000","€6,000",,,,,"€3,000","€29,000","€1,200",,"€3,000",,€800,"€5,000","€34,000","-€33,651",,,"-€33,651"
176,133,2009,FPO,00-10,1.9,8.1,0.6,2.1,688,523,"15,980","1,361",6.5,,,"€311,375",,"€311,375",,"€5,288",€400,,,,,"€14,265","€19,953",€567,,"€1,100",,€0,"€1,667","€21,620","€289,755",,,"€289,755"
177,172,2009,DRB,00-10,5.6,8.2,1.7,2.1,319,131,"8,234",891,7.1,3.0,2.0,"€11,352","€1,000","€12,352",,"€2,550","€4,700",,,,"€1,200",€0,"€8,450",,,"€1,900",,€200,"€2,100","€10,550","€1,802",,,"€1,802"
178,65,2009,FPO,10-12,8.2,11.4,2.1,2.4,113,86,"9,141","1,149",11.1,3.0,2.0,"€14,528",,"€14,528",,"€3,200",€600,,,,,"€4,000","€7,800","€2,354",,€650,,€0,"€3,004","€10,804","€3,724",,,"€3,724"
179,220,2009,DFN,10-12,10.9,10.7,2.4,2.4,44,20,"3,098",444,10.9,2.0,1.5,"€4,140",,"€4,140",,"€1,890","€1,500",,,,€50,€775,"€4,215","€2,187",,,,€0,"€2,187","€6,402","-€2,263",,,"-€2,263"
180,11,2009,DTS,18-24,126.0,19.3,4.8,3.0,65,65,"25,509","8,744",21.6,6.0,5.0,"€234,604",€658,"€235,262","€63,130","€77,252","€40,325","€20,340","€7,575","€1,305","€1,240","€7,974","€219,141",,"€5,050",€932,€59,"€6,380","€12,421","€231,562","€3,700","€65,216",,"-€61,516"
181,433,2009,FPO,00-10,8.3,10.3,2.1,2.3,688,523,"15,980","1,361",6.5,3.0,2.0,"€33,282","€1,000","€34,282",,"€3,268","€4,500",,,,€850,"€1,607","€10,225","€4,900",,€700,,€0,"€5,600","€15,825","€18,457",,,"€18,457"
182,593,2009,FPO,00-10,1.4,5.9,0.4,1.8,688,523,"15,980","1,361",6.5,2.0,1.0,"€35,303",,"€35,303",,"€2,100","€1,000",,,,,"€2,000","€5,100",,,€500,,€0,€500,"€5,600","€29,703",,,"€29,703"
183,370,2009,DRB,10-12,8.1,10.2,2.1,2.3,51,20,"4,546",500,10.9,3.0,2.0,"€11,739",,"€11,739",,"€13,000","€4,500",,,,"€1,200",€0,"€18,700",,,€700,,€200,€900,"€19,600","-€7,861",,,"-€7,861"
184,197,2009,TM,40-70,"1,469.0",60.7,7.3,4.1,21,20,"40,645","27,587",55.4,12.0,12.0,"€5,259,931","€58,533","€5,318,464","€1,032,939","€735,965","€1,068,636",,"€51,315",,"€57,872",€0,"€2,946,727","€103,620","€217,897","€19,000","€21,723","€177,175","€539,415","€3,486,142","€1,832,322","€567,062",,"€1,265,260"
